,Term,Stem,wTFref,SType,Inn-Score,Inn-TF,Inn-wTF,Ope-Score,Ope-TF,Ope-wTF
25,accuracy,accuraci,7.70976999186191e-05,raw,0.17010979271597731,5.0,9.13943116180449e-05,,,
26,acetylcholine,acetylcholin,,noref,,4.0,7.311544929443592e-05,,,
27,achievements,achiev,4.0690452734826745e-05,raw,1.2791933812513825,8.0,0.00014623089858887184,,,
28,achieve,achiev,0.00010922174155137706,raw,0.9849539082534424,16.0,0.0002924617971777437,,,
29,achieved,achiev,0.00013277937208206622,raw,0.0964979753727312,8.0,0.00014623089858887184,,,
30,achievement,achiev,0.00013920418040861782,raw,0.8030168928985658,17.0,0.0003107406595013526,,,
31,acid,acid,2.7840836081723563e-05,raw,0.9655358223963407,4.0,7.311544929443592e-05,,,
32,acoustic,acoust,6.424808326551591e-06,stem,2.1441908187379872,3.0,5.483658697082694e-05,,,
33,acquiring,acquir,2.355763053068917e-05,raw,0.8449078346077261,3.0,5.483658697082694e-05,,,
34,acquired,acquir,5.5681672163447126e-05,raw,0.49553219315060526,5.0,9.13943116180449e-05,,,
35,acquire,acquir,5.782327493896432e-05,raw,-0.05303375859823247,3.0,5.483658697082694e-05,,,
36,acquisition,acquisit,3.640724718379235e-05,raw,1.3904190163616068,8.0,0.00014623089858887184,,,
37,acquisitions,acquisit,3.640724718379235e-05,stem,0.9204153871158713,5.0,9.13943116180449e-05,,,
38,across,across,0.0006039319826958495,raw,-0.1655117420249228,28.0,0.0005118081450610514,-1.097464802271053,4.0,0.00020154179472968206
39,acts,act,8.352250824517069e-05,raw,-0.42075853872354974,3.0,5.483658697082694e-05,,,
40,acting,act,0.000130637769306549,raw,-0.5803886843154336,4.0,7.311544929443592e-05,,,
41,act,act,0.0006060735854713668,raw,-0.7932058778030406,15.0,0.0002741829348541347,-0.6955395208680126,6.0,0.0003023126920945231
42,actions,action,0.0001456289887351694,raw,0.489632471023417,13.0,0.00023762521020691672,,,
43,action,action,0.0006232064076755043,raw,-0.5334001748795145,20.0,0.0003655772464721796,,,
44,activation,activ,1.4991219428620379e-05,raw,1.2968929583507833,3.0,5.483658697082694e-05,,,
45,actively,activ,2.5699233306206364e-05,raw,0.7578964576180964,3.0,5.483658697082694e-05,,,
46,active,activ,0.00018846104424551335,raw,-0.030560902746173894,10.0,0.0001827886232360898,0.06710545418885416,4.0,0.00020154179472968206
47,activities,activ,0.00024628431918447767,raw,1.5889134324011622,66.0,0.0012064049133581926,0.8111110519822905,11.0,0.0005542399355066257
48,activity,activ,0.0002484259219599949,raw,0.609476452499823,25.0,0.00045697155809022445,1.0436150460560638,14.0,0.0007053962815538873
49,actors,actor,3.212404163275796e-05,raw,2.694237155657259,26.0,0.00047525042041383344,,,
50,actor,actor,5.139846661241273e-05,raw,0.9120471374453545,7.0,0.00012795203626526284,,,
51,actual,actual,0.0002120186747762025,raw,-0.5050188823412899,7.0,0.00012795203626526284,,,
52,actually,actual,0.0003555060607358547,raw,-0.4028476121570196,13.0,0.00023762521020691672,,,
53,adding,ad,4.711526106137834e-05,raw,1.6922056949949296,14.0,0.0002559040725305257,1.1657177428569636,3.0,0.00015115634604726154
54,added,ad,0.0003683556773889579,raw,-0.058864678909025706,19.0,0.0003472983841485706,0.31323852372776256,10.0,0.0005038544868242052
55,adapt,adapt,1.0708013877585985e-05,raw,2.4806630553591997,7.0,0.00012795203626526284,,,
56,adaptive,adapt,1.62761810939307e-05,stem,1.5023369325655922,4.0,7.311544929443592e-05,,,
57,adaptively,adapt,1.62761810939307e-05,stem,1.2146548601138112,3.0,5.483658697082694e-05,,,
58,adaptation,adapt,2.141602775517197e-05,raw,0.940218014412051,3.0,5.483658697082694e-05,,,
59,adapted,adapt,2.7840836081723563e-05,raw,,,,2.2026364625197337,5.0,0.0002519272434121026
60,add,add,0.00018846104424551335,raw,,,,-0.22057661826292696,3.0,0.00015115634604726154
61,additionally,addit,1.0708013877585985e-05,raw,2.4806630553591997,7.0,0.00012795203626526284,,,
62,additional,addit,0.00025699233306206366,raw,0.4477415293142567,22.0,0.0004021349711193975,-0.5307315465667665,3.0,0.00015115634604726154
63,addition,addit,0.000304107594123442,raw,0.2328861988601491,21.0,0.00038385610879578853,-0.1882412376199904,5.0,0.0002519272434121026
64,addressing,address,1.9274424979654775e-05,raw,1.8928763904570807,7.0,0.00012795203626526284,,,
65,addressed,address,4.0690452734826745e-05,raw,0.8091897520056469,5.0,9.13943116180449e-05,,,
66,addresses,address,4.4973658285861136e-05,raw,1.2968929583507833,9.0,0.0001645097609124808,,,
67,address,address,0.00016490341371482416,raw,-0.12017306143586096,8.0,0.00014623089858887184,1.0115670630297056,9.0,0.00045346903814178467
68,adherence,adher,1.9274424979654775e-05,raw,,,,2.347217691330841,4.0,0.00020154179472968206
69,adjustments,adjust,4.283205551034394e-05,raw,0.24707083385210565,3.0,5.483658697082694e-05,,,
70,administered,administ,2.9982438857240758e-05,raw,0.891427850242619,4.0,7.311544929443592e-05,,,
71,administrative,administr,0.00011350494710241145,raw,-0.0343416255860799,6.0,0.00010967317394165388,,,
72,administration,administr,0.00034479804685826873,raw,-1.3277756338123756,5.0,9.13943116180449e-05,-0.5369620963174023,4.0,0.00020154179472968206
73,adopting,adopt,2.355763053068917e-05,raw,1.3557334583737166,5.0,9.13943116180449e-05,2.3696905471828997,5.0,0.0002519272434121026
74,adoption,adopt,2.355763053068917e-05,raw,3.905178629299288,64.0,0.0011698471887109747,3.7559849083027905,20.0,0.0010077089736484103
75,adopt,adopt,2.7840836081723563e-05,raw,3.0757490227429303,33.0,0.0006032024566790963,1.691810838753743,3.0,0.00015115634604726154
76,adopter,adopt,4.283205551034394e-05,stem,1.9816718892402119,17.0,0.0003107406595013526,,,
77,adopters,adopt,4.283205551034394e-05,stem,2.731977483640106,36.0,0.0006580390436499232,,,
78,adopted,adopt,9.637212489827387e-05,raw,1.633365194971996,27.0,0.0004935292827374424,2.718781247763324,29.0,0.001461178011790195
79,advancing,advanc,8.566411102068788e-06,raw,2.7038066066734094,7.0,0.00012795203626526284,,,
80,advancement,advanc,2.141602775517197e-05,raw,1.4510436381780418,5.0,9.13943116180449e-05,,,
81,advances,advanc,3.854884995930955e-05,raw,1.6517143336401927,11.0,0.00020106748555969876,,,
82,advanced,advanc,0.00011350494710241145,raw,0.4764839981799108,10.0,0.0001827886232360898,0.5741503551149387,4.0,0.00020154179472968206
83,advance,advanc,0.00012635456375551462,raw,-0.32390871273363203,5.0,9.13943116180449e-05,0.1792227523095602,3.0,0.00015115634604726154
84,advantages,advantag,5.9964877714481516e-05,raw,1.0092108858990023,9.0,0.0001645097609124808,1.617702866600021,6.0,0.0003023126920945231
85,advantage,advantag,0.00015633700261275538,raw,1.0726072024577964,25.0,0.00045697155809022445,,,
86,advent,advent,1.0708013877585985e-05,raw,1.6333651949719963,3.0,5.483658697082694e-05,,,
87,advertising,advertis,0.00010708013877585985,raw,1.1766067924762813,19.0,0.0003472983841485706,,,
88,advice,advic,0.00011136334432689425,raw,-0.7084406111753309,3.0,5.483658697082694e-05,,,
89,advisory,advisori,5.139846661241273e-05,raw,0.5755749008241418,5.0,9.13943116180449e-05,,,
90,advocates,advoc,1.784668979597664e-05,stem,,,,2.1364966600151885,3.0,0.00015115634604726154
91,advocacy,advocaci,6.424808326551591e-06,raw,2.431872891189768,4.0,7.311544929443592e-05,,,
92,aerial,aerial,1.7132822204137576e-05,raw,1.6741871894922513,5.0,9.13943116180449e-05,,,
93,aerospace,aerospac,8.566411102068788e-06,raw,2.3673343700521965,5.0,9.13943116180449e-05,,,
94,aerovironment,aeroviron,,noref,,3.0,5.483658697082694e-05,,,
95,aesthetic,aesthet,5.5681672163447126e-05,raw,0.6778537499445598,6.0,0.00010967317394165388,,,
96,aesthetics,aesthet,5.5681672163447126e-05,stem,0.6778537499445598,6.0,0.00010967317394165388,,,
97,affecting,affect,1.0708013877585985e-05,raw,2.3265123755319417,6.0,0.00010967317394165388,,,
98,affects,affect,4.0690452734826745e-05,raw,0.5860462006914371,4.0,7.311544929443592e-05,,,
99,affective,affect,4.176125412258535e-05,stem,0.5600707142881762,4.0,7.311544929443592e-05,,,
100,affect,affect,7.49560971431019e-05,raw,1.921047267423777,28.0,0.0005118081450610514,,,
101,affirmed,affirm,1.2849616653103182e-05,raw,,,,2.7526827994390057,4.0,0.00020154179472968206
102,affirming,affirm,1.392041804086178e-05,stem,,,,2.6726400917654694,4.0,0.00020154179472968206
103,affordable,afford,3.9976585142987684e-05,stem,0.316063705339057,3.0,5.483658697082694e-05,1.33002079414824,3.0,0.00015115634604726154
104,africa,africa,9.637212489827387e-05,raw,1.170741673023883,17.0,0.0003107406595013526,,,
105,african,african,5.9964877714481516e-05,raw,0.19828066968267363,4.0,7.311544929443592e-05,2.3108500471599664,12.0,0.0006046253841890462
106,against,against,0.0013427849402492826,raw,-1.3010234483409429,20.0,0.0003655772464721796,-1.4910391638576959,6.0,0.0003023126920945231
107,ages,age,0.00010922174155137706,raw,-0.6890225253182292,3.0,5.483658697082694e-05,,,
108,age,age,0.00048614383004240376,raw,0.5693884029666427,47.0,0.000859106529209622,,,
109,agency,agenc,0.00011992975542896303,raw,0.19828066968267363,8.0,0.00014623089858887184,,,
110,agencies,agenc,0.00013277937208206622,raw,-0.03703341725179147,7.0,0.00012795203626526284,0.12962581117018798,3.0,0.00015115634604726154
111,agenda,agenda,1.0708013877585985e-05,raw,1.6333651949719963,3.0,5.483658697082694e-05,,,
112,agents,agent,8.352250824517069e-05,raw,0.6778537499445598,9.0,0.0001645097609124808,0.5931985500856332,3.0,0.00015115634604726154
113,agent,agent,9.423052212275668e-05,raw,0.5572257621559451,9.0,0.0001645097609124808,,,
114,aggression,aggress,2.141602775517197e-05,raw,2.3265123755319417,12.0,0.00021934634788330776,,,
115,aghion,aghion,,noref,,3.0,5.483658697082694e-05,,,
116,ago,ago,0.0005268342827772305,raw,-1.4152305681390627,7.0,0.00012795203626526284,-0.9608892672653021,4.0,0.00020154179472968206
117,agree,agre,0.00010922174155137706,raw,-0.40134045286644826,4.0,7.311544929443592e-05,,,
118,agreed,agre,0.00017346982481689297,raw,,,,0.3731366653088315,5.0,0.0002519272434121026
119,agreements,agreement,3.212404163275796e-05,raw,0.8224349787556675,4.0,7.311544929443592e-05,,,
120,agreement,agreement,0.0002270098942048229,raw,-0.5733381263187671,7.0,0.00012795203626526284,0.44061896249041616,7.0,0.0003526981407769436
121,agriculture,agricultur,4.925686383689553e-05,raw,1.8419099468650533,17.0,0.0003107406595013526,,,
122,agricultural,agricultur,8.138090546965349e-05,raw,0.8091897520056469,10.0,0.0001827886232360898,,,
123,aided,aid,2.355763053068917e-05,raw,,,,3.532841356988581,16.0,0.0008061671789187282
124,aids,aid,5.782327493896432e-05,raw,-0.05303375859823247,3.0,5.483658697082694e-05,,,
125,aid,aid,0.0002869747719193044,raw,-1.6550366925448148,3.0,5.483658697082694e-05,,,
126,aims,aim,3.426564440827515e-05,raw,0.7578964576180964,4.0,7.311544929443592e-05,1.9949970977414893,5.0,0.0002519272434121026
127,aimed,aim,5.139846661241273e-05,raw,0.7578964576180964,6.0,0.00010967317394165388,1.366388438319115,4.0,0.00020154179472968206
128,aim,aim,7.92393026941363e-05,raw,0.47918305514907567,7.0,0.00012795203626526284,,,
129,air,air,0.0005503919133079196,raw,-0.14678872813575086,26.0,0.00047525042041383344,,,
130,aircraft,aircraft,0.0001499121942862038,raw,1.4220561013047892,34.0,0.0006214813190027052,0.008264954165920572,3.0,0.00015115634604726154
131,airlines,airlin,1.0708013877585985e-05,raw,1.6333651949719963,3.0,5.483658697082694e-05,,,
132,airliner,airlin,1.0708013877585985e-05,stem,1.9210472674237773,4.0,7.311544929443592e-05,,,
133,alan,alan,1.0708013877585985e-05,raw,1.9210472674237773,4.0,7.311544929443592e-05,,,
134,albert,albert,6.210648048999872e-05,raw,0.9741195660877322,9.0,0.0001645097609124808,,,
135,aleksandr,aleksandr,,noref,,6.0,0.00010967317394165388,,,
136,alessandro,alessandro,,noref,,3.0,5.483658697082694e-05,,,
137,alexander,alexand,9.637212489827387e-05,raw,1.515582159315613,24.0,0.0004386926957666155,,,
138,alexandria,alexandria,8.566411102068788e-06,raw,2.1441908187379872,4.0,7.311544929443592e-05,,,
139,alferov,alferov,,noref,,3.0,5.483658697082694e-05,,,
140,alfred,alfr,0.00011136334432689425,raw,0.39017167749277887,9.0,0.0001645097609124808,,,
141,algebra,algebra,6.424808326551591e-06,stem,2.1441908187379872,3.0,5.483658697082694e-05,,,
142,algeria,algeria,,noref,,4.0,7.311544929443592e-05,,,
143,algorithm,algorithm,,noref,,6.0,0.00010967317394165388,,,
144,algorithms,algorithm,,noref,,3.0,5.483658697082694e-05,,5.0,0.0002519272434121026
145,alice,alic,2.9982438857240758e-05,raw,0.603745777790838,3.0,5.483658697082694e-05,,,
146,alike,alik,4.283205551034394e-05,raw,,,,1.2610279226612886,3.0,0.00015115634604726154
147,allee,alle,,noref,,5.0,9.13943116180449e-05,,,
148,alliance,allianc,4.283205551034394e-05,raw,0.5347529063038866,4.0,7.311544929443592e-05,2.6473222837811794,12.0,0.0006046253841890462
149,alliances,allianc,4.283205551034394e-05,stem,0.7578964576180964,5.0,9.13943116180449e-05,,,
150,allocation,alloc,3.640724718379235e-05,raw,0.4095897633498807,3.0,5.483658697082694e-05,,,
151,allows,allow,4.0690452734826745e-05,raw,2.144190818737987,19.0,0.0003472983841485706,2.4109335057169488,9.0,0.00045346903814178467
152,allowing,allow,6.638968604103311e-05,raw,0.5019630834808957,6.0,0.00010967317394165388,1.670070852117337,7.0,0.0003526981407769436
153,allow,allow,0.0001541953998372382,raw,0.26541997252030214,11.0,0.00020106748555969876,1.654070510770896,16.0,0.0008061671789187282
154,allowed,allow,0.00018417783869447896,raw,-0.7007185650814205,5.0,9.13943116180449e-05,0.6497107603489756,7.0,0.0003526981407769436
155,alone,alon,0.00041761254122585345,raw,-1.1828985907704468,7.0,0.00012795203626526284,-0.7285572898966863,4.0,0.00020154179472968206
156,along,along,0.0007602689853086049,raw,-0.8375552128412641,18.0,0.0003290195218249616,,,
157,alongside,alongsid,3.212404163275796e-05,raw,0.5347529063038865,3.0,5.483658697082694e-05,,,
158,already,alreadi,0.0005846575577161948,raw,-0.6320676323907568,17.0,0.0003107406595013526,-0.5054137385824764,7.0,0.0003526981407769436
159,alternatives,altern,3.640724718379235e-05,raw,1.3904190163616068,8.0,0.00014623089858887184,,,
160,alternative,altern,7.28144943675847e-05,raw,1.102736943909826,12.0,0.00021934634788330776,1.577697531986322,7.0,0.0003526981407769436
161,although,although,0.0006874544909410203,raw,-0.19326309990688276,31.0,0.0005666447320318783,0.09475698551936423,15.0,0.0007557817302363078
162,aluminium,aluminium,,noref,,3.0,5.483658697082694e-05,,,
163,always,alway,0.0009808540711868762,raw,-1.2746281642739878,15.0,0.0002741829348541347,-1.0228111275117016,7.0,0.0003526981407769436
164,amabile,amabil,,noref,,8.0,0.00014623089858887184,,,
165,amateur,amateur,5.3540069387929924e-05,raw,,,,1.037884371347079,3.0,0.00015115634604726154
166,amazon,amazon,,noref,,4.0,7.311544929443592e-05,,,
167,ambidexterity,ambidexter,,noref,,4.0,7.311544929443592e-05,,,
168,ambiguity,ambigu,2.355763053068917e-05,raw,1.132589907059507,4.0,7.311544929443592e-05,2.14654699586869,4.0,0.00020154179472968206
169,america,america,0.00041547093845033624,raw,-0.638760690537341,12.0,0.00021934634788330776,-1.0110979628480485,3.0,0.00015115634604726154
170,americas,america,0.00041547093845033624,stem,-2.0250550516572314,3.0,5.483658697082694e-05,,,
171,american,american,0.0012185719792692851,raw,-0.8674851052131402,28.0,0.0005118081450610514,,,
172,ammunition,ammunit,3.854884995930955e-05,raw,0.6401134219617128,4.0,7.311544929443592e-05,,,
173,among,among,0.000792393026941363,raw,0.42034255512614227,66.0,0.0012064049133581926,-0.11629776847584151,14.0,0.0007053962815538873
174,amongst,amongst,8.566411102068788e-06,raw,1.856508746286206,3.0,5.483658697082694e-05,,,
175,amounts,amount,9.423052212275668e-05,raw,-0.5413865265121645,3.0,5.483658697082694e-05,,,
176,amount,amount,0.0003683556773889579,raw,-0.3642463284602077,14.0,0.0002559040725305257,-0.6030522081463926,4.0,0.00020154179472968206
177,amusement,amus,1.4991219428620379e-05,raw,1.807718582116774,5.0,9.13943116180449e-05,,,
178,analogy,analog,2.7840836081723563e-05,raw,0.6778537499445598,3.0,5.483658697082694e-05,,,
179,analyses,analys,2.7840836081723563e-05,raw,1.3710009305045052,6.0,0.00010967317394165388,,,
180,analysis,analysi,0.00023129309975585728,raw,1.6667522110047333,67.0,0.0012246837756818016,1.040966037884487,13.0,0.0006550108328714667
181,analytical,analyt,1.9274424979654775e-05,raw,1.0455785300698772,3.0,5.483658697082694e-05,,,
182,analytic,analyt,3.426564440827515e-05,raw,0.7578964576180964,4.0,7.311544929443592e-05,,,
183,analyzing,analyz,1.7132822204137576e-05,raw,2.0106594261134645,7.0,0.00012795203626526284,,,
184,analyze,analyz,2.141602775517197e-05,raw,1.227900086863832,4.0,7.311544929443592e-05,,,
185,analyzed,analyz,2.9982438857240758e-05,raw,1.4510436381780416,7.0,0.00012795203626526284,,,
186,anatoly,anatoli,,noref,,5.0,9.13943116180449e-05,,,
187,ancient,ancient,0.0001477705915106866,raw,2.099739056167153,66.0,0.0012064049133581926,,,
188,andes,and,,noref,,3.0,5.483658697082694e-05,,,
189,andrei,andrei,3.854884995930955e-05,raw,0.6401134219617128,4.0,7.311544929443592e-05,,,
190,andrew,andrew,2.5699233306206364e-05,raw,1.6051943180052999,7.0,0.00012795203626526284,,,
191,andrey,andrey,,noref,,5.0,9.13943116180449e-05,,,
192,android,android,,noref,,,,,3.0,0.00015115634604726154
193,animation,anim,9.35166545309176e-05,stem,-0.2460998546751642,4.0,7.311544929443592e-05,,,
194,animal,anim,0.0001456289887351694,raw,0.227268206555926,10.0,0.0001827886232360898,,,
195,anne,ann,8.994731657172227e-05,raw,-0.4948665108772717,3.0,5.483658697082694e-05,,,
196,anna,anna,1.4991219428620379e-05,raw,1.2968929583507833,3.0,5.483658697082694e-05,,,
197,announced,announc,0.00018846104424551335,raw,-1.2345337070721099,3.0,5.483658697082694e-05,-0.22057661826292696,3.0,0.00015115634604726154
198,annual,annual,0.00019916905812309934,raw,0.1765406830462676,13.0,0.00023762521020691672,,,
199,anomalies,anomali,,noref,,4.0,7.311544929443592e-05,,,
200,another,anoth,0.0014648562984537628,raw,-0.5995774649663024,44.0,0.000804269942238795,-0.4794382521792159,18.0,0.0009069380762835693
201,ansi,ansi,,noref,,,,,6.0,0.0003023126920945231
202,answers,answer,9.423052212275668e-05,raw,-0.030560902746173894,5.0,9.13943116180449e-05,,,
203,answer,answer,0.00032552362187861396,raw,-0.9337795530529762,7.0,0.00012795203626526284,,,
204,ant,ant,1.2849616653103182e-05,raw,1.4510436381780418,3.0,5.483658697082694e-05,,,
205,antenna,antenna,2.7840836081723563e-05,raw,0.9655358223963407,4.0,7.311544929443592e-05,,,
206,anthony,anthoni,3.426564440827515e-05,raw,0.7578964576180964,4.0,7.311544929443592e-05,,,
207,anthropology,anthropolog,1.4991219428620379e-05,raw,2.596175942481044,11.0,0.00020106748555969876,,,
208,anthropological,anthropolog,1.4991219428620379e-05,stem,1.2968929583507833,3.0,5.483658697082694e-05,,,
209,anthropologists,anthropologist,,noref,,6.0,0.00010967317394165388,,,
210,anti,anti,,noref,,16.0,0.0002924617971777437,,4.0,0.00020154179472968206
211,antike,antik,,noref,,4.0,7.311544929443592e-05,,,
212,antonov,antonov,,noref,,4.0,7.311544929443592e-05,,,
213,anybody,anybodi,8.994731657172227e-05,raw,,,,0.5190905779319114,3.0,0.00015115634604726154
214,anyone,anyon,0.0002998243885724076,raw,-1.0056921346432623,6.0,0.00010967317394165388,0.9245556860400758,15.0,0.0007557817302363078
215,anything,anyth,0.0005996487771448152,raw,-2.104304423311372,4.0,7.311544929443592e-05,,,
216,apache,apach,8.566411102068788e-06,stem,,,,4.16974881922565,11.0,0.0005542399355066257
217,apart,apart,0.00012207135820448023,raw,-0.28942253666246287,5.0,9.13943116180449e-05,,,
218,api,api,,noref,,5.0,9.13943116180449e-05,,,
219,apparent,appar,0.00012207135820448023,raw,-0.5125660879766725,4.0,7.311544929443592e-05,,,
220,apparatus,apparatu,6.210648048999872e-05,raw,-0.12449272258037747,3.0,5.483658697082694e-05,,,
221,appeal,appeal,0.00013492097485758343,raw,,,,0.40130754227552784,4.0,0.00020154179472968206
222,appears,appear,0.00017989463314344454,raw,0.015959112888719148,10.0,0.0001827886232360898,,,
223,appear,appear,0.0002505675247355121,raw,-0.31539802306572357,10.0,0.0001827886232360898,,,
224,appeared,appear,0.0002891163746948216,raw,-0.8151738106451293,7.0,0.00012795203626526284,,,
225,applies,appli,4.0690452734826745e-05,raw,0.29836412823965613,3.0,5.483658697082694e-05,1.60000328950062,4.0,0.00020154179472968206
226,applying,appli,6.210648048999872e-05,raw,-0.12449272258037747,3.0,5.483658697082694e-05,0.8894643662288055,3.0,0.00015115634604726154
227,apply,appli,0.00011992975542896303,raw,0.5167344008012081,11.0,0.00020106748555969876,1.2122377584918567,8.0,0.0004030835894593641
228,applied,appli,0.0002270098942048229,raw,0.8480475546123939,29.0,0.0005300870073846604,0.6919333907713222,9.0,0.00045346903814178467
229,applicable,applic,3.854884995930955e-05,raw,,,,2.347217691330841,8.0,0.0004030835894593641
230,applications,applic,5.3540069387929924e-05,raw,2.508833932325896,36.0,0.0006580390436499232,3.1973686207004515,26.0,0.0013100216657429334
231,application,applic,0.0001456289887351694,raw,1.3904190163616068,32.0,0.0005849235943554873,1.6466904034732734,15.0,0.0007557817302363078
232,approaches,approach,5.3540069387929924e-05,raw,2.25751950404499,28.0,0.0005118081450610514,1.8851822317342826,7.0,0.0003526981407769436
233,approach,approach,0.00026341714138861523,raw,1.5063937332612065,65.0,0.0011881260510345835,0.8308702019627529,12.0,0.0006046253841890462
234,appropedia,appropedia,,noref,,,,,5.0,0.0002519272434121026
235,appropriate,appropri,0.0001456289887351694,raw,0.815054871458045,18.0,0.0003290195218249616,2.745302692141383,45.0,0.002267345190708923
236,approved,approv,8.566411102068788e-05,raw,,,,2.870465835095389,30.0,0.0015115634604726156
237,approval,approv,0.00010922174155137706,raw,,,,1.0180817440508991,6.0,0.0003023126920945231
238,approximately,approxim,0.000152053797061721,raw,-1.019876769635219,3.0,5.483658697082694e-05,,,
239,april,april,0.000152053797061721,raw,0.7147242857528874,17.0,0.0003107406595013526,-0.005919680826035842,3.0,0.00015115634604726154
240,arabic,arab,1.2849616653103182e-05,raw,1.7387257106298226,4.0,7.311544929443592e-05,,,
241,arc,arc,8.780571379620508e-05,raw,1.0696760816489377,14.0,0.0002559040725305257,,,
242,arch,arch,2.7840836081723563e-05,raw,0.9655358223963407,4.0,7.311544929443592e-05,,,
243,archaeological,archaeolog,1.7132822204137576e-05,raw,2.2619738543943706,9.0,0.0001645097609124808,,,
244,archaeology,archaeolog,2.355763053068917e-05,raw,2.231202195727617,12.0,0.00021934634788330776,,,
245,architects,architect,1.7132822204137576e-05,raw,,,,2.465000726987225,4.0,0.00020154179472968206
246,architectural,architectur,1.7132822204137576e-05,raw,1.4510436381780418,4.0,7.311544929443592e-05,2.465000726987225,4.0,0.00020154179472968206
247,architectures,architectur,2.0345226367413372e-05,stem,,,,2.516294021374775,5.0,0.0002519272434121026
248,architecture,architectur,2.355763053068917e-05,raw,2.3112449034011533,13.0,0.00023762521020691672,4.820695645295219,58.0,0.00292235602358039
249,archived,archiv,8.566411102068788e-06,stem,4.125192287604571,29.0,0.0005300870073846604,2.870465835095389,3.0,0.00015115634604726154
250,arduino,arduino,,noref,,,,,5.0,0.0002519272434121026
251,areas,area,0.0005054182550220585,raw,0.176866575178857,33.0,0.0006032024566790963,-0.5139244282503851,6.0,0.0003023126920945231
252,area,area,0.0006938792992675719,raw,-0.5455102436960267,22.0,0.0004021349711193975,-0.676685459189846,7.0,0.0003526981407769436
253,argues,argu,2.141602775517197e-05,raw,2.7860447049103816,19.0,0.0003472983841485706,2.241857175673015,4.0,0.00020154179472968206
254,argue,argu,6.210648048999872e-05,raw,0.8563365304313488,8.0,0.00014623089858887184,,,
255,argued,argu,6.210648048999872e-05,raw,1.6101083328077288,17.0,0.0003107406595013526,1.7367622266160092,7.0,0.0003526981407769436
256,arguments,argument,3.212404163275796e-05,raw,0.8224349787556675,4.0,7.311544929443592e-05,,,
257,argument,argument,0.00013492097485758343,raw,0.08049763402629007,8.0,0.00014623089858887184,,,
258,arises,aris,2.9982438857240758e-05,raw,0.603745777790838,3.0,5.483658697082694e-05,,,
259,arise,aris,5.9964877714481516e-05,raw,1.1145714015568287,10.0,0.0001827886232360898,,,
